Прайс лабораторных анализов;;;;;;;
1. ОБЩЕКЛИНИЧЕСКИЕ ИССЛЕДОВАНИЯ КРОВИ;;;;;;;
;;;;;;;
1.1. Общеклинические исследования крови;;;;;;;
* тест TRO выполняется только в комплексе с тестом №5;;;;;;;
1515;;;Клинический анализ крови: общий анализ, лейкоформула, СОЭ (с микроскопией мазка крови при наличии патологических сдвигов) (Clinical Blood Analysis: General Blood Analysis, Leucocyte Formula, ESR (with Microscopic Examination of Blood Smear if Presence of Pathologic Changes));;"Капиллярная кровь; Кровь";1 р.д.;600,00
1555;;;Клинический анализ крови: общий анализ, лейкоформула, СОЭ (с обязательной «ручной» микроскопией мазка крови) (Clinical Blood Analysis: General Blood Analysis, Leucocyte Formula, ESR (with Manual Microscopic Examination of Blood Smear));;"Капиллярная кровь; Кровь";1 к.д.;810,00
5/119;;;Клинический анализ крови: общий анализ, лейкоформула (с микроскопией мазка крови при наличии патологических сдвигов);;"Капиллярная кровь; Кровь";1 к.д.;485,00
5;;;Общий анализ крови (ОАК) (без лейкоцитарной формулы и СОЭ) (General Blood Analysis, without White Blood Cell (WBC) Count and ESR);;"Капиллярная кровь; Кровь";1 к.д.;270,00
TRO;;;Тромбоциты, микроскопия (подсчет в окрашенном мазке по методу Фонио) (Platelets, Microscopy (Manual Platelet Count (PLT Count): Indirect Method by Fonio))*;;Кровь;1 к.д.;300,00
119;;;Лейкоцитарная формула (дифференцированный подсчет лейкоцитов, лейкоцитограмма) с микроскопией мазка крови при наличии патологических сдвигов (Leucocyte Formula (Differential White Blood Cell Count) with Microscopic Examination of Blood Smear if Presence of Pathologic Changes)*;;"Капиллярная кровь; Кровь";1 к.д.;225,00
911;;;Лейкоцитарная формула (дифференцированный подсчет лейкоцитов, лейкоцитограмма) с обязательной «ручной» микроскопией мазка крови (Leucocyte Formula (Differential White Blood Cell Count) with Manual Microscopic Examination of Blood Smear)*;;"Капиллярная кровь; Кровь";1 к.д.;315,00
150;;;Ретикулоциты (Reticulocytes);;"Капиллярная кровь; Кровь";1 к.д.;280,00
139;;;СОЭ (скорость оседания эритроцитов) (Erythrocyte Sedimentation Rate, ESR);;"Капиллярная кровь; Кровь";1 к.д.;185,00
1600;;;Осмотическая резистентность эритроцитов;;Кровь;до 8 р.д.;2 080,00
1618;;;Электрофорез гемоглобина. Гемоглобинопатии;;Кровь;до 6 р.д.;4 265,00
1620;;;G6PD эритроцитов, активность;;Кровь;до 6 р.д.;3 445,00
5КАП;;;Общий анализ крови (ОАК) (без лейкоцитарной формулы и СОЭ) (General Blood Analysis, without White Blood Cell (WBC) Count and ESR);;Капиллярная кровь;;270,00
119КАП;;;Лейкоцитарная формула (дифференцированный подсчет лейкоцитов, лейкоцитограмма) с микроскопией мазка крови при наличии патологических сдвигов (Leucocyte Formula (Differential White Blood Cell Count) with Microscopic Examination of Blood Smear if Presence of Pathologic Changes);;Капиллярная кровь;1 к.д.;225,00
911КАП;;;Лейкоцитарная формула (дифференцированный подсчет лейкоцитов, лейкоцитограмма) с обязательной «ручной» микроскопией мазка крови (Leucocyte Formula (Differential White Blood Cell Count) with Manual Microscopic Examination of Blood Smear);;Капиллярная кровь;1 к.д.;315,00
139КАП;;;СОЭ (скорость оседания эритроцитов) (Erythrocyte Sedimentation Rate, ESR);;Капиллярная кровь;1 к.д.;185,00
